filename,status,rows,csv_path,error
PartyRunClientConfig.djb,ok,44,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PartyRunClientConfig.csv,
PartyRunDummyRules.djb,ok,26,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PartyRunDummyRules.csv,
PartyRunLeagueRating.djb,ok,21,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PartyRunLeagueRating.csv,
PartyRunMapPools.djb,ok,113,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PartyRunMapPools.csv,
PartyRunMapRules.djb,ok,82,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PartyRunMapRules.csv,
PartyRunMasterConfig.djb,ok,19,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PartyRunMasterConfig.csv,
PartyRunPassPurchaseInfo.djb,ok,10,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PartyRunPassPurchaseInfo.csv,
PartyRunReplayCookieBlackList.djb,ok,36,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PartyRunReplayCookieBlackList.csv,
PartyRunTierConfig.djb,ok,10,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PartyRunTierConfig.csv,
PetBalance.djb,ok,28,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PetBalance.csv,
PlatformEtcTypeIdList.djb,ok,7,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PlatformEtcTypeIdList.csv,
PlatformSoundData.djb,ok,17,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PlatformSoundData.csv,
PowderPrice.djb,ok,306,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PowderPrice.csv,
Probability_Boost.djb,ok,11,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Probability_Boost.csv,
Probability_Pet.djb,ok,100,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Probability_Pet.csv,
Probability_Squirrel.djb,ok,8,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Probability_Squirrel.csv,
Probability_Treasure.djb,ok,168,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Probability_Treasure.csv,
Probability_TreasureEVBigWin.djb,ok,4,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Probability_TreasureEVBigWin.csv,
Probability_TreasureEvolve.djb,ok,4,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Probability_TreasureEvolve.csv,
Probability_TreasureSet.djb,ok,5,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Probability_TreasureSet.csv,
Probability_TreasureUpgrade.djb,ok,36,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Probability_TreasureUpgrade.csv,
ProfileList.djb,ok,77,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/ProfileList.csv,
ProfileTitle.djb,ok,39,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/ProfileTitle.csv,
ProfileTitleCategory.djb,ok,7,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/ProfileTitleCategory.csv,
QuestInfo.djb,ok,2265,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/QuestInfo.csv,
QuestInfoList.djb,ok,2854,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/QuestInfoList.csv,
Rating.djb,ok,185,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Rating.csv,
SeasonalLobbyBGMInfo.djb,ok,26,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/SeasonalLobbyBGMInfo.csv,
